display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/NumberConcept_1.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(1)
gen.inits()
initial values generated, model initialized
update(1000)
set(pp)
set(ppz)
set(ppb)
set(v)
set(z)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pp[1,1]	4.337	4.32	0.09151	1.0	3.0	15.0	1001	2000
	pp[1,2]	5.755	4.622	0.08791	1.0	4.0	15.0	1001	2000
	pp[1,3]	5.673	4.473	0.1053	1.0	4.0	15.0	1001	2000
	pp[1,4]	5.896	4.565	0.1173	1.0	4.0	15.0	1001	2000
	pp[1,5]	5.94	4.646	0.09907	1.0	4.0	15.0	1001	2000
	pp[1,6]	5.838	4.51	0.09737	1.0	4.0	15.0	1001	2000
	pp[1,7]	5.921	4.671	0.1063	1.0	4.0	15.0	1001	2000
	pp[1,8]	5.771	4.568	0.08648	1.0	4.0	15.0	1001	2000
	pp[1,9]	5.667	4.48	0.09329	1.0	4.0	15.0	1001	2000
	pp[1,10]	5.796	4.566	0.1021	1.0	4.0	15.0	1001	2000
	pp[1,11]	5.874	4.556	0.09606	1.0	4.0	15.0	1001	2000
	pp[1,12]	5.722	4.47	0.1012	1.0	4.0	15.0	1001	2000
	pp[1,13]	5.845	4.656	0.09526	1.0	4.0	15.0	1001	2000
	pp[1,14]	5.692	4.468	0.0953	1.0	4.0	15.0	1001	2000
	pp[1,15]	5.737	4.505	0.08646	1.0	4.0	15.0	1001	2000
	pp[2,1]	5.205	4.416	0.0954	1.0	4.0	15.0	1001	2000
	pp[2,2]	5.585	4.608	0.09535	1.0	4.0	15.0	1001	2000
	pp[2,3]	5.508	4.48	0.08344	1.0	4.0	15.0	1001	2000
	pp[2,4]	5.663	4.571	0.1046	1.0	4.0	15.0	1001	2000
	pp[2,5]	5.742	4.591	0.09977	1.0	4.0	15.0	1001	2000
	pp[2,6]	5.747	4.642	0.103	1.0	4.0	15.0	1001	2000
	pp[2,7]	5.529	4.487	0.08261	1.0	4.0	15.0	1001	2000
	pp[2,8]	5.53	4.512	0.09227	1.0	4.0	15.0	1001	2000
	pp[2,9]	5.647	4.597	0.08823	1.0	4.0	15.0	1001	2000
	pp[2,10]	5.503	4.501	0.0971	1.0	4.0	15.0	1001	2000
	pp[2,11]	5.317	4.321	0.08912	1.0	4.0	15.0	1001	2000
	pp[2,12]	5.667	4.563	0.0732	1.0	4.0	15.0	1001	2000
	pp[2,13]	5.396	4.414	0.09737	1.0	4.0	15.0	1001	2000
	pp[2,14]	5.516	4.556	0.0961	1.0	4.0	15.0	1001	2000
	pp[2,15]	5.601	4.548	0.1053	1.0	4.0	15.0	1001	2000
	pp[3,1]	2.083	2.991	0.07051	1.0	1.0	15.0	1001	2000
	pp[3,2]	4.274	3.846	0.08809	2.0	2.0	15.0	1001	2000
	pp[3,3]	6.682	4.43	0.08716	2.0	5.0	15.0	1001	2000
	pp[3,4]	6.856	4.483	0.112	2.0	5.0	15.0	1001	2000
	pp[3,5]	6.744	4.483	0.1068	2.0	5.0	15.0	1001	2000
	pp[3,6]	6.76	4.457	0.09483	2.0	5.0	15.0	1001	2000
	pp[3,7]	6.665	4.364	0.09014	2.0	5.0	15.0	1001	2000
	pp[3,8]	7.058	4.592	0.09661	2.0	5.0	15.0	1001	2000
	pp[3,9]	6.872	4.514	0.1047	2.0	5.0	15.0	1001	2000
	pp[3,10]	6.788	4.585	0.1017	2.0	5.0	15.0	1001	2000
	pp[3,11]	6.747	4.444	0.08988	2.0	5.0	15.0	1001	2000
	pp[3,12]	6.553	4.348	0.111	2.0	5.0	15.0	1001	2000
	pp[3,13]	6.685	4.43	0.08739	2.0	5.0	15.0	1001	2000
	pp[3,14]	6.78	4.466	0.1044	2.0	5.0	15.0	1001	2000
	pp[3,15]	6.771	4.47	0.09398	2.0	5.0	15.0	1001	2000
	pp[4,1]	1.976	2.826	0.06596	1.0	1.0	15.0	1001	2000
	pp[4,2]	2.741	2.484	0.06348	2.0	2.0	15.0	1001	2000
	pp[4,3]	6.955	4.436	0.08496	3.0	5.0	15.0	1001	2000
	pp[4,4]	7.178	4.4	0.1089	3.0	5.0	15.0	1001	2000
	pp[4,5]	7.239	4.443	0.08613	3.0	5.0	15.0	1001	2000
	pp[4,6]	7.284	4.425	0.08889	3.0	5.0	15.0	1001	2000
	pp[4,7]	7.37	4.462	0.1031	3.0	5.0	15.0	1001	2000
	pp[4,8]	7.137	4.364	0.0942	3.0	5.0	15.0	1001	2000
	pp[4,9]	7.362	4.463	0.1047	3.0	5.0	15.0	1001	2000
	pp[4,10]	7.26	4.456	0.1016	3.0	5.0	15.0	1001	2000
	pp[4,11]	7.288	4.427	0.0848	3.0	5.0	15.0	1001	2000
	pp[4,12]	7.272	4.501	0.1063	3.0	5.0	15.0	1001	2000
	pp[4,13]	7.242	4.411	0.07889	3.0	5.0	15.0	1001	2000
	pp[4,14]	7.469	4.569	0.09251	3.0	5.0	15.0	1001	2000
	pp[4,15]	7.47	4.554	0.1028	3.0	5.0	15.0	1001	2000
	pp[5,1]	1.927	2.878	0.06302	1.0	1.0	15.0	1001	2000
	pp[5,2]	2.66	2.289	0.05587	2.0	2.0	13.0	1001	2000
	pp[5,3]	5.314	3.948	0.09453	3.0	3.0	15.0	1001	2000
	pp[5,4]	7.794	4.467	0.08948	3.0	6.0	15.0	1001	2000
	pp[5,5]	7.779	4.474	0.09925	3.0	6.0	15.0	1001	2000
	pp[5,6]	7.779	4.48	0.09046	3.0	6.0	15.0	1001	2000
	pp[5,7]	7.506	4.369	0.09779	3.0	6.0	15.0	1001	2000
	pp[5,8]	7.457	4.31	0.0906	3.0	6.0	15.0	1001	2000
	pp[5,9]	7.718	4.444	0.1208	3.0	6.0	15.0	1001	2000
	pp[5,10]	7.76	4.437	0.09226	3.0	6.0	15.0	1001	2000
	pp[5,11]	7.688	4.451	0.08499	3.0	6.0	15.0	1001	2000
	pp[5,12]	7.656	4.44	0.08459	3.0	6.0	15.0	1001	2000
	pp[5,13]	7.862	4.495	0.1113	3.0	6.0	15.0	1001	2000
	pp[5,14]	7.707	4.391	0.1006	3.0	6.0	15.0	1001	2000
	pp[5,15]	7.883	4.479	0.112	3.0	6.0	15.0	1001	2000
	pp[6,1]	1.875	2.69	0.0561	1.0	1.0	15.0	1001	2000
	pp[6,2]	2.773	2.506	0.07052	2.0	2.0	15.0	1001	2000
	pp[6,3]	6.194	4.297	0.09673	3.0	4.0	15.0	1001	2000
	pp[6,4]	7.542	4.445	0.1039	3.0	6.0	15.0	1001	2000
	pp[6,5]	7.322	4.402	0.09961	3.0	5.0	15.0	1001	2000
	pp[6,6]	7.425	4.408	0.1079	3.0	6.0	15.0	1001	2000
	pp[6,7]	7.54	4.471	0.106	3.0	6.0	15.0	1001	2000
	pp[6,8]	7.372	4.416	0.1042	3.0	5.0	15.0	1001	2000
	pp[6,9]	7.351	4.367	0.08803	3.0	5.0	15.0	1001	2000
	pp[6,10]	7.492	4.453	0.1022	3.0	5.0	15.0	1001	2000
	pp[6,11]	7.321	4.383	0.107	3.0	5.0	15.0	1001	2000
	pp[6,12]	7.523	4.497	0.09568	3.0	6.0	15.0	1001	2000
	pp[6,13]	7.379	4.368	0.1084	3.0	5.0	15.0	1001	2000
	pp[6,14]	7.483	4.46	0.1031	3.0	5.0	15.0	1001	2000
	pp[6,15]	7.384	4.43	0.1086	3.0	5.0	15.0	1001	2000
	pp[7,1]	2.037	2.942	0.05956	1.0	1.0	15.0	1001	2000
	pp[7,2]	2.796	2.57	0.05667	2.0	2.0	15.0	1001	2000
	pp[7,3]	7.069	4.413	0.1167	3.0	5.0	15.0	1001	2000
	pp[7,4]	7.21	4.463	0.06989	3.0	5.0	15.0	1001	2000
	pp[7,5]	7.197	4.448	0.09033	3.0	5.0	15.0	1001	2000
	pp[7,6]	7.157	4.489	0.09424	3.0	5.0	15.0	1001	2000
	pp[7,7]	7.286	4.471	0.1127	3.0	5.0	15.0	1001	2000
	pp[7,8]	7.285	4.502	0.09841	3.0	5.0	15.0	1001	2000
	pp[7,9]	7.21	4.434	0.109	3.0	5.0	15.0	1001	2000
	pp[7,10]	7.015	4.36	0.08871	3.0	5.0	15.0	1001	2000
	pp[7,11]	7.173	4.404	0.09775	3.0	5.0	15.0	1001	2000
	pp[7,12]	7.21	4.453	0.1027	3.0	5.0	15.0	1001	2000
	pp[7,13]	7.126	4.407	0.09108	3.0	5.0	15.0	1001	2000
	pp[7,14]	7.173	4.452	0.09712	3.0	5.0	15.0	1001	2000
	pp[7,15]	7.011	4.333	0.08644	3.0	5.0	15.0	1001	2000
	pp[8,1]	1.795	2.479	0.04781	1.0	1.0	10.0	1001	2000
	pp[8,2]	3.845	3.658	0.07297	2.0	2.0	15.0	1001	2000
	pp[8,3]	6.905	4.434	0.1097	2.0	5.0	15.0	1001	2000
	pp[8,4]	6.955	4.438	0.09552	2.0	5.0	15.0	1001	2000
	pp[8,5]	6.973	4.523	0.09084	2.0	5.0	15.0	1001	2000
	pp[8,6]	6.869	4.451	0.1077	2.0	5.0	15.0	1001	2000
	pp[8,7]	6.904	4.45	0.09129	2.0	5.0	15.0	1001	2000
	pp[8,8]	6.861	4.457	0.09859	2.0	5.0	15.0	1001	2000
	pp[8,9]	6.861	4.426	0.09377	2.0	5.0	15.0	1001	2000
	pp[8,10]	6.923	4.394	0.1079	2.0	5.0	15.0	1001	2000
	pp[8,11]	6.897	4.494	0.08004	2.0	5.0	15.0	1001	2000
	pp[8,12]	7.063	4.492	0.1037	2.0	5.0	15.0	1001	2000
	pp[8,13]	6.963	4.458	0.09723	2.0	5.0	15.0	1001	2000
	pp[8,14]	6.769	4.407	0.09137	2.0	5.0	15.0	1001	2000
	pp[8,15]	7.008	4.49	0.09867	2.0	5.0	15.0	1001	2000
	pp[9,1]	1.919	2.847	0.05823	1.0	1.0	15.0	1001	2000
	pp[9,2]	2.794	2.654	0.05644	2.0	2.0	15.0	1001	2000
	pp[9,3]	3.954	2.738	0.07254	3.0	3.0	15.0	1001	2000
	pp[9,4]	7.452	4.281	0.09401	3.0	5.0	15.0	1001	2000
	pp[9,5]	7.965	4.381	0.09607	2.0	6.0	15.0	1001	2000
	pp[9,6]	8.111	4.424	0.1348	3.0	6.0	15.0	1001	2000
	pp[9,7]	8.263	4.397	0.08461	3.0	7.0	15.0	1001	2000
	pp[9,8]	8.072	4.407	0.1034	3.0	6.0	15.0	1001	2000
	pp[9,9]	8.167	4.389	0.1017	3.0	6.0	15.0	1001	2000
	pp[9,10]	7.951	4.362	0.09784	3.0	6.0	15.0	1001	2000
