display(log)
check(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/SIMPLE_2R.txt)
model is syntactically correct
data(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(10)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
set(deviance)
dic.set()
update(10)
coda(*,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	alpha[1]	-0.001186	8.668E-5	5.312E-5	-0.001268	-0.001211	-0.001009	11	10
	alpha[2]	0.636	0.002073	0.0011	0.6313	0.6365	0.6389	11	10
	c	21.16	0.09218	0.03641	21.03	21.16	21.33	11	10
	deviance	13010.0	17.5	10.71	12990.0	1.3E+4	13040.0	11	10
	pcpred[1,1]	0.7903	0.006172	0.001407	0.7826	0.7896	0.8021	11	10
	pcpred[1,2]	0.53	0.007632	2.883E-4	0.5172	0.5328	0.5445	11	10
	pcpred[1,3]	0.3448	0.009199	0.001491	0.3303	0.348	0.3612	11	10
	pcpred[1,4]	0.3936	0.01121	6.097E-4	0.3724	0.3961	0.4092	11	10
	pcpred[1,5]	0.2406	0.01107	0.004973	0.2283	0.2392	0.26	11	10
	pcpred[1,6]	0.2416	0.01517	0.00336	0.2156	0.2461	0.2672	11	10
	pcpred[1,7]	0.8763	0.01207	0.001748	0.8558	0.8792	0.9008	11	10
	pcpred[1,8]	0.2901	0.01162	0.002198	0.265	0.2933	0.3067	11	10
	pcpred[1,9]	0.2706	0.01082	0.003695	0.2517	0.2683	0.2867	11	10
	pcpred[2,1]	0.5627	0.01582	0.004533	0.5521	0.5576	0.6076	11	10
	pcpred[2,2]	0.2924	0.009932	0.003868	0.275	0.2922	0.3109	11	10
	pcpred[2,3]	0.2141	0.005577	0.001535	0.2053	0.2145	0.223	11	10
	pcpred[2,4]	0.2382	0.01258	0.005448	0.2132	0.2408	0.2625	11	10
	pcpred[2,5]	0.1913	0.01128	0.003773	0.1792	0.1908	0.2183	11	10
	pcpred[2,6]	0.2119	0.009335	0.003166	0.1977	0.2125	0.225	11	10
	pcpred[2,7]	0.7237	0.01026	0.003424	0.7092	0.725	0.7408	11	10
	pcpred[2,8]	0.1979	0.008004	0.002032	0.185	0.1975	0.2108	11	10
	pcpred[2,9]	0.2613	0.01396	0.00735	0.2358	0.2675	0.28	11	10
	pcpred[3,1]	0.5568	0.01156	0.002317	0.5368	0.5611	0.5757	11	10
	pcpred[3,2]	0.2593	0.009823	0.003358	0.2359	0.2625	0.2734	11	10
	pcpred[3,3]	0.1751	0.008438	0.002002	0.1539	0.177	0.1855	11	10
	pcpred[3,4]	0.1984	0.005174	0.002945	0.1914	0.1974	0.2099	11	10
	pcpred[3,5]	0.1655	0.008557	0.002411	0.1533	0.1675	0.1808	11	10
	pcpred[3,6]	0.2048	0.01232	0.001486	0.1797	0.207	0.225	11	10
	pcpred[3,7]	0.7406	0.00969	0.002689	0.7225	0.7392	0.755	11	10
	pcpred[3,8]	0.1689	0.008564	2.51E-4	0.1517	0.1708	0.1825	11	10
	pcpred[3,9]	0.2463	0.01186	0.001731	0.2292	0.2492	0.2667	11	10
	pcpred[4,1]	0.6114	0.008094	0.001649	0.5951	0.616	0.6229	11	10
	pcpred[4,2]	0.2548	0.01007	0.001228	0.2391	0.2547	0.2703	11	10
	pcpred[4,3]	0.1638	0.01123	0.005666	0.1441	0.1632	0.1816	11	10
	pcpred[4,4]	0.1928	0.008001	1.524E-4	0.1796	0.1934	0.2059	11	10
	pcpred[4,5]	0.1631	0.004973	0.002077	0.1542	0.165	0.1708	11	10
	pcpred[4,6]	0.1994	0.006199	0.001422	0.1922	0.1984	0.2156	11	10
	pcpred[4,7]	0.7982	0.009587	0.003613	0.7808	0.8	0.8117	11	10
	pcpred[4,8]	0.1575	0.01145	0.001781	0.1417	0.1575	0.175	11	10
	pcpred[4,9]	0.2446	0.0091	0.002663	0.2275	0.2458	0.26	11	10
	pcpred[5,1]	0.6808	0.00774	0.004183	0.6667	0.6799	0.691	11	10
	pcpred[5,2]	0.27	0.01718	0.005473	0.2359	0.2781	0.2922	11	10
	pcpred[5,3]	0.1669	0.01015	0.001584	0.1487	0.1684	0.1862	11	10
	pcpred[5,4]	0.2022	0.01025	0.004083	0.1842	0.2039	0.2164	11	10
	pcpred[5,5]	0.1608	0.01326	0.004114	0.14	0.1658	0.1825	11	10
	pcpred[5,6]	0.1941	0.01009	0.002016	0.1758	0.1977	0.2086	11	10
	pcpred[5,7]	0.8548	0.007118	0.002117	0.8458	0.8533	0.865	11	10
	pcpred[5,8]	0.161	0.01031	0.003188	0.1475	0.165	0.1783	11	10
	pcpred[5,9]	0.2377	0.007032	9.929E-4	0.225	0.2417	0.2458	11	10
	pcpred[6,1]	0.7583	0.006654	0.002623	0.7458	0.7576	0.7701	11	10
	pcpred[6,2]	0.3137	0.01685	0.007657	0.2758	0.3172	0.3328	11	10
	pcpred[6,3]	0.1757	0.009862	0.004901	0.1586	0.1789	0.1941	11	10
	pcpred[6,4]	0.2044	0.01216	0.005603	0.1829	0.2007	0.2243	11	10
	pcpred[6,5]	0.1583	0.01088	0.003263	0.1425	0.1575	0.1792	11	10
	pcpred[6,6]	0.1947	0.006383	0.001953	0.1828	0.1945	0.2086	11	10
	pcpred[6,7]	0.9056	0.004715	8.855E-4	0.8967	0.9075	0.9133	11	10
	pcpred[6,8]	0.1573	0.01254	0.003566	0.1417	0.1583	0.1817	11	10
	pcpred[6,9]	0.2392	0.01134	0.004522	0.22	0.2392	0.2625	11	10
	pcpred[7,1]	0.8233	0.004028	0.001228	0.8167	0.8236	0.8292	11	10
	pcpred[7,2]	0.3515	0.009792	0.001777	0.3398	0.3531	0.368	11	10
	pcpred[7,3]	0.1834	0.00736	0.001164	0.1743	0.1809	0.2	11	10
	pcpred[7,4]	0.2188	0.01121	0.003148	0.1908	0.223	0.2296	11	10
	pcpred[7,5]	0.1604	0.009229	0.001598	0.1458	0.1633	0.1783	11	10
	pcpred[7,6]	0.1868	0.01147	0.002256	0.1703	0.1891	0.2016	11	10
	pcpred[7,7]	0.9427	0.00829	0.002397	0.9267	0.9442	0.9517	11	10
	pcpred[7,8]	0.164	0.01084	0.004766	0.1458	0.1658	0.1817	11	10
	pcpred[7,9]	0.2357	0.01177	0.00366	0.2192	0.2375	0.2525	11	10
	pcpred[8,1]	0.8823	0.01193	0.004694	0.8639	0.8826	0.9076	11	10
	pcpred[8,2]	0.3922	0.01225	0.002008	0.3703	0.3922	0.4141	11	10
	pcpred[8,3]	0.2011	0.008609	0.001863	0.1862	0.2026	0.2145	11	10
	pcpred[8,4]	0.2411	0.008149	0.001498	0.2283	0.2441	0.2539	11	10
	pcpred[8,5]	0.1643	0.005039	5.782E-4	0.1583	0.1633	0.1725	11	10
	pcpred[8,6]	0.1866	0.01065	0.002559	0.1688	0.1891	0.2008	11	10
	pcpred[8,7]	0.9594	0.00575	8.855E-4	0.9517	0.9583	0.9717	11	10
	pcpred[8,8]	0.1699	0.01115	0.001022	0.1533	0.175	0.19	11	10
	pcpred[8,9]	0.2361	0.01297	0.005911	0.2108	0.24	0.2567	11	10
	pcpred[9,1]	0.9235	0.007686	6.617E-4	0.9125	0.9243	0.9354	11	10
	pcpred[9,2]	0.4651	0.0104	0.003396	0.4516	0.4711	0.4844	11	10
	pcpred[9,3]	0.2133	0.01634	0.003431	0.1908	0.2072	0.2395	11	10
	pcpred[9,4]	0.2641	0.01124	0.005788	0.2414	0.2671	0.2822	11	10
	pcpred[9,5]	0.1613	0.00752	0.002257	0.1467	0.1633	0.1775	11	10
	pcpred[9,6]	0.1866	0.008724	0.002179	0.1711	0.1859	0.2031	11	10
	pcpred[9,7]	0.9793	0.002409	6.832E-4	0.975	0.9792	0.9833	11	10
	pcpred[9,8]	0.1824	0.01466	0.005803	0.17	0.1792	0.2225	11	10
	pcpred[9,9]	0.2376	0.008885	0.003831	0.2233	0.2408	0.2483	11	10
	pcpred[10,1]	0.9756	0.004275	6.364E-4	0.9667	0.9757	0.9819	11	10
	pcpred[10,2]	0.5203	0.008707	0.001414	0.5102	0.5234	0.5359	11	10
	pcpred[10,3]	0.2273	0.01238	0.004134	0.2112	0.2243	0.2474	11	10
	pcpred[10,4]	0.3045	0.01111	0.001271	0.2862	0.3066	0.3263	11	10
	pcpred[10,5]	0.1666	0.006329	7.138E-4	0.1567	0.1692	0.1758	11	10
	pcpred[10,6]	0.1852	0.01634	0.006394	0.1672	0.1797	0.2148	11	10
	pcpred[10,7]	0.9913	0.002244	0.001068	0.9883	0.9908	0.9958	11	10
	pcpred[10,8]	0.1861	0.008157	0.003028	0.1642	0.1883	0.1967	11	10
	pcpred[10,9]	0.2348	0.01224	0.004411	0.2125	0.2358	0.25	11	10
	pcpred[11,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[11,2]	0.5934	0.01265	0.003209	0.5758	0.5922	0.6187	11	10
	pcpred[11,3]	0.2533	0.01071	0.00327	0.2303	0.2539	0.2724	11	10
	pcpred[11,4]	0.3314	0.008115	0.004014	0.3224	0.3342	0.3493	11	10
	pcpred[11,5]	0.1703	0.0112	0.003232	0.1542	0.1717	0.1883	11	10
	pcpred[11,6]	0.1901	0.01289	1.871E-4	0.1609	0.1937	0.2039	11	10
	pcpred[11,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[11,8]	0.1953	0.01436	0.005139	0.1567	0.2008	0.2125	11	10
	pcpred[11,9]	0.2345	0.01101	0.002641	0.2142	0.2358	0.2525	11	10
	pcpred[12,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[12,2]	0.6767	0.01274	0.005598	0.6531	0.6797	0.6938	11	10
	pcpred[12,3]	0.2778	0.01264	0.002346	0.2546	0.277	0.2993	11	10
	pcpred[12,4]	0.3757	0.01277	0.002528	0.3487	0.3816	0.3947	11	10
	pcpred[12,5]	0.1718	0.008423	0.003884	0.1525	0.1717	0.1842	11	10
	pcpred[12,6]	0.1886	0.008269	0.001605	0.1797	0.1859	0.207	11	10
	pcpred[12,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[12,8]	0.2093	0.01197	0.002256	0.1867	0.2133	0.2258	11	10
	pcpred[12,9]	0.2428	0.007844	0.001179	0.2267	0.2475	0.2525	11	10
	pcpred[13,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[13,2]	0.7586	0.01363	0.004195	0.7383	0.7633	0.7797	11	10
	pcpred[13,3]	0.3128	0.006138	0.002458	0.3039	0.3151	0.3211	11	10
	pcpred[13,4]	0.4286	0.01339	0.004254	0.4118	0.4368	0.4507	11	10
	pcpred[13,5]	0.1794	0.008106	0.003251	0.1658	0.1825	0.1908	11	10
	pcpred[13,6]	0.1877	0.01364	0.002479	0.168	0.1898	0.2109	11	10
	pcpred[13,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[13,8]	0.2258	0.01161	0.004354	0.21	0.225	0.2442	11	10
