display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/SIMPLE_2.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(2000)
gen.inits()
initial values generated, model initialized
update(1000)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	alpha[1]	-0.001749	7.113E-5	7.687E-6	-0.001888	-0.001747	-0.00161	1001	2000
	alpha[2]	0.6407	0.005364	7.624E-4	0.6306	0.6406	0.6525	1001	2000
	c	21.08	0.2919	0.04111	20.57	21.08	21.72	1001	2000
	pcpred[1,1]	0.7944	0.01119	4.827E-4	0.7715	0.7944	0.816	1001	2000
	pcpred[1,2]	0.525	0.01406	3.962E-4	0.4984	0.525	0.5531	1001	2000
	pcpred[1,3]	0.3421	0.01258	2.568E-4	0.3178	0.3421	0.3671	1001	2000
	pcpred[1,4]	0.4021	0.01303	3.235E-4	0.377	0.402	0.427	1001	2000
	pcpred[1,5]	0.2455	0.01272	2.502E-4	0.2208	0.245	0.2708	1001	2000
	pcpred[1,6]	0.242	0.01267	3.223E-4	0.2172	0.2422	0.2664	1001	2000
	pcpred[1,7]	0.8773	0.01021	5.471E-4	0.8567	0.8775	0.8975	1001	2000
	pcpred[1,8]	0.2899	0.01287	2.868E-4	0.265	0.29	0.315	1001	2000
	pcpred[1,9]	0.2886	0.01352	3.86E-4	0.2625	0.2883	0.3158	1001	2000
	pcpred[2,1]	0.557	0.01308	4.052E-4	0.5306	0.5569	0.5819	1001	2000
	pcpred[2,2]	0.2854	0.0125	3.364E-4	0.2609	0.2852	0.3109	1001	2000
	pcpred[2,3]	0.1988	0.01024	2.828E-4	0.1789	0.1987	0.2191	1001	2000
	pcpred[2,4]	0.2265	0.0107	2.373E-4	0.2059	0.2263	0.2474	1001	2000
	pcpred[2,5]	0.1852	0.01106	3.197E-4	0.165	0.185	0.2075	1001	2000
	pcpred[2,6]	0.2149	0.0114	2.757E-4	0.193	0.2148	0.2375	1001	2000
	pcpred[2,7]	0.713	0.01333	4.544E-4	0.6858	0.7133	0.7383	1001	2000
	pcpred[2,8]	0.1891	0.01144	2.783E-4	0.1675	0.1892	0.2117	1001	2000
	pcpred[2,9]	0.2735	0.01332	3.893E-4	0.2475	0.2733	0.3	1001	2000
	pcpred[3,1]	0.5503	0.01356	2.834E-4	0.525	0.5507	0.5771	1001	2000
	pcpred[3,2]	0.2431	0.01232	2.91E-4	0.2195	0.243	0.2664	1001	2000
	pcpred[3,3]	0.1664	0.009837	2.924E-4	0.148	0.1664	0.1862	1001	2000
	pcpred[3,4]	0.1896	0.01026	2.894E-4	0.1697	0.1895	0.2099	1001	2000
	pcpred[3,5]	0.1651	0.011	2.532E-4	0.1442	0.165	0.1867	1001	2000
	pcpred[3,6]	0.2025	0.01145	3.367E-4	0.1805	0.2023	0.2258	1001	2000
	pcpred[3,7]	0.734	0.013	3.207E-4	0.7092	0.7342	0.76	1001	2000
	pcpred[3,8]	0.1621	0.01084	2.729E-4	0.14	0.1625	0.1842	1001	2000
	pcpred[3,9]	0.2648	0.01284	3.979E-4	0.2408	0.2642	0.2908	1001	2000
	pcpred[4,1]	0.6074	0.01334	3.174E-4	0.5813	0.6076	0.6333	1001	2000
	pcpred[4,2]	0.2451	0.01222	3.6E-4	0.2219	0.2453	0.2688	1001	2000
	pcpred[4,3]	0.1583	0.0095	2.439E-4	0.1395	0.1586	0.177	1001	2000
